customer_id,age,tenure,monthly_charges,total_charges,num_logins_last_30d,support_tickets_last_12m,churn,avg_charge_per_month,inactive_flag,contract_type_yearly,payment_method_boleto,payment_method_credit_card,gender_M
1,28,20,125.23113681498428,2413.3300480080275,12,8,0,120.66650240040137,0,0,1,0,1
2,19,13,159.85931498824775,2046.7103324650127,25,5,0,157.43925634346252,0,1,0,0,0
3,50,31,78.23380578444993,2375.7802265623413,1,1,0,76.63807182459166,0,0,0,0,0
4,53,40,116.56858602189996,4668.645382558851,44,8,1,116.71613456397128,0,1,1,0,1
5,58,16,129.87951937774,2038.6888999226533,35,9,1,127.41805624516583,0,1,0,1,1
6,67,46,160.3348057938848,7351.421517266276,8,0,0,159.81351124491906,0,0,1,0,0
7,43,38,194.6680566189661,7374.775881867829,33,8,1,194.0730495228376,0,0,0,0,1
8,61,10,177.24133220064374,1770.005062891919,9,7,1,177.0005062891919,0,0,1,0,0
9,55,56,143.2277630344925,7994.328617111339,22,3,0,142.75586816270248,0,1,0,1,1
10,32,3,137.54610122522138,359.54899917880755,25,6,1,119.84966639293584,0,0,0,0,1
11,61,39,140.4780039609006,5482.9304766725145,46,7,0,140.5879609403209,0,0,0,1,0
12,20,26,131.77679639896607,3479.570867186348,16,4,0,133.82964873793645,0,0,0,0,0
13,49,39,58.904432038838536,2303.696159304241,0,6,1,59.069132289852334,1,1,0,0,0
14,66,46,154.7444591882307,7087.7541007466825,21,0,0,154.08161088579746,0,1,1,0,0
15,52,41,157.45052001944043,6449.314000542377,46,9,1,157.30034147664333,0,0,1,0,0
16,66,39,126.87205434005412,4845.478480744284,39,9,0,124.24303796780215,0,0,0,0,0
17,20,50,180.55814081038145,9020.93690304213,2,2,1,180.4187380608426,0,0,0,0,0
18,45,42,150.86552041350177,6316.334138912551,2,4,0,150.38890806934646,0,1,0,0,1
19,58,49,104.39969867855254,5068.912217348749,37,2,0,103.44718810915815,0,1,0,0,0
20,51,24,52.95415303979514,1233.294755338485,36,3,0,51.387281472436875,0,0,1,0,1
21,63,12,58.87424697465201,685.9792386188418,27,2,0,57.16493655157015,0,1,0,0,0
22,42,14,102.76973924626796,1488.3992632480758,4,8,1,106.31423308914827,0,0,0,0,1
23,53,37,119.31579877980244,4469.287575691695,14,6,1,120.79155609977553,0,0,0,1,1
24,39,32,75.03066792626376,2354.57511556255,42,8,0,73.58047236132968,0,1,0,0,0
25,63,5,78.39924596339482,366.0923611548045,6,7,0,73.2184722309609,0,0,0,0,0
26,24,13,84.53170381690045,1074.282651755277,10,7,0,82.63712705809823,0,1,1,0,0
27,31,58,167.0770009364409,9730.94333009108,22,1,0,167.77488500157034,0,0,0,1,1
28,23,43,165.6931761427657,7132.081901770506,36,8,0,165.86236980861642,0,0,0,0,0
29,54,45,107.44084781206682,4839.477644675059,41,7,0,107.54394765944576,0,0,0,0,0
30,30,12,75.85465723765938,937.069017522972,29,1,0,78.089084793581,0,0,0,0,1
31,34,4,66.63625775952039,236.72436061753496,24,0,0,59.18109015438374,0,0,0,1,1
32,61,18,63.06939680707598,1203.4434712450704,19,7,0,66.85797062472614,0,1,0,1,1
33,36,51,108.6918876349058,5543.199036509186,2,3,0,108.69017718645463,0,0,0,0,1
34,25,30,56.83136499816791,1662.1453276354416,13,3,0,55.40484425451472,0,0,1,0,0
35,19,47,100.04525556895024,4690.64499955077,10,3,1,99.80095743725043,0,0,0,1,0
36,29,29,194.22998638117065,5694.266021264341,2,8,1,196.35400073325314,0,0,0,0,1
37,65,29,126.1256923415058,3636.38797110448,37,3,0,125.39268865877517,0,0,1,0,0
38,46,36,173.39669852527834,6289.759036862261,17,3,0,174.71552880172948,0,0,1,0,0
39,69,57,69.38989188430986,3923.956547767086,25,3,0,68.8413429432822,0,0,1,0,1
40,29,26,90.21181736145572,2307.2240665589834,10,0,1,88.73938717534551,0,0,0,1,0
41,36,36,191.9819666816013,6944.330671067362,29,0,0,192.89807419631563,0,0,0,1,1
42,26,55,107.53278454010352,5870.604521673407,6,4,0,106.73826403042558,0,0,1,0,0
43,38,22,147.26091926724837,3280.8672363875485,33,0,0,149.13032892670674,0,0,1,0,0
44,47,50,196.4190168743884,9838.532143670587,36,7,0,196.77064287341173,0,1,0,0,1
45,60,32,132.61816344961034,4200.101533664151,15,4,0,131.25317292700473,0,0,1,0,1
46,37,52,95.8018923843104,4978.126266784423,10,5,0,95.73319743816198,0,1,0,0,0
47,58,28,129.79226839280935,3606.744800470685,39,3,0,128.81231430252447,0,0,1,0,1
48,50,38,58.195579899628896,2228.880864019351,11,7,1,58.65475957945661,0,1,1,0,0
49,33,20,66.85548111390368,1431.4995345258446,8,4,0,71.57497672629223,0,1,1,0,0
50,65,38,51.07566575784049,1922.3400686535676,17,0,0,50.58789654351494,0,0,0,0,0
51,40,20,182.63150623475065,3679.318938387938,48,4,0,183.9659469193969,0,0,0,1,0
52,25,36,150.69206433493935,5426.136348141193,23,1,0,150.7260096705887,0,0,1,0,1
53,68,47,94.7494647699122,4454.427729339032,13,5,0,94.77505807104325,0,1,0,0,1
54,65,26,83.17421288109568,2154.2692788719114,25,5,0,82.85651072584275,0,0,0,0,1
55,20,26,152.461490173667,3921.127872197764,17,4,0,150.81261046914477,0,0,0,0,1
56,64,20,187.9298097177924,3775.3531918199706,33,3,1,188.76765959099853,0,0,0,1,1
57,67,44,94.8708636578166,4159.880913447961,21,5,0,94.5427480329082,0,0,0,0,0
58,61,35,98.23386640801726,3392.945320093668,29,6,0,96.9412948598191,0,1,0,0,1
59,31,31,178.13610877906595,5572.92803526346,21,8,1,179.77187210527288,0,0,0,0,0
60,50,2,184.00637238256283,372.9632259002428,24,9,0,186.4816129501214,0,0,1,0,0
61,45,7,187.1054850244668,1298.3334473041054,22,0,0,185.47620675772936,0,0,1,0,0
62,50,1,93.9731312010042,160.9759619383191,19,6,0,160.9759619383191,0,0,0,0,0
